model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Solvent,selected_point_index,wavelength,TPACS,values_ln,elements
218,232,CCCCN(CCCC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CCCC)CCCC)cc3)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CCCC)CCCC)cc3)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,10.1016/j.cplett.2005.08.041,TDBASB,Toluene,0,772.0,1030.0,6.937314081,"C,H,N"
219,233,CCCCCOc1cc(/C=C/c2ccc(-c3nc4ccccc4s3)cc2)c(OCCCCC)cc1/C=C/c1ccc(-c2nc3ccccc3s2)cc1,CAN:CCCCCOc1cc(/C=C/c2ccc(-c3nc4ccccc4s3)cc2)c(OCCCCC)cc1/C=C/c1ccc(-c2nc3ccccc3s2)cc1,10.1039/B507958F,7,TCM,0,788.0,521.0,6.255750042,"C,H,N,O,S"
220,234,CCCCCCOc1ccc(-c2nnc(-c3ccc(/C=C/c4cc(OCCCCC)c(C(C)=O)cc4OCCCCC)cc3)o2)cc1,CAN:CCCCCCOc1ccc(-c2nnc(-c3ccc(/C=C/c4cc(OCCCCC)c(C(C)=O)cc4OCCCCC)cc3)o2)cc1,10.1039/B507958F,8,TCM,0,788.0,13.0,2.564949357,"C,H,N,O"
221,235,CCCCCOc1cc(/C=C/c2ccc(-c3nc4ccccc4s3)cc2)c(OCCCCC)cc1C=O,CAN:CCCCCOc1cc(/C=C/c2ccc(-c3nc4ccccc4s3)cc2)c(OCCCCC)cc1C=O,10.1039/B507958F,6,TCM,0,788.0,26.0,3.258096538,"C,H,N,O,S"
222,236,CCCCCCOc1ccc(-c2nnc(-c3ccc(/C=C/c4cc(OCCCCC)c(/C=C/c5ccc(-c6nnc(-c7ccc(OCCCCCC)cc7)o6)cc5)cc4OCCCCC)cc3)o2)cc1,CAN:CCCCCCOc1ccc(-c2nnc(-c3ccc(/C=C/c4cc(OCCCCC)c(/C=C/c5ccc(-c6nnc(-c7ccc(OCCCCCC)cc7)o6)cc5)cc4OCCCCC)cc3)o2)cc1,10.1039/B507958F,9,TCM,0,788.0,461.0,6.133398043,"C,H,N,O"
223,239,CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1,CAN:CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1,10.1039/B512524C,1,DCM,0,800.0,98.36,4.588634217,"C,H,N,O"
224,240,CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)cc3)o2)cc1,CAN:CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)cc3)o2)cc1,10.1039/B512524C,2,DCM,0,800.0,104.2,4.646312129,"C,H,N,O"
225,241,CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cc5cccc6c5c5c(cccc45)CC6)cc3)o2)cc1,CAN:CC(C)(C)c1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cc5cccc6c5c5c(cccc45)CC6)cc3)o2)cc1,10.1039/B512524C,3,DCM,0,800.0,135.0,4.905274778,"C,H,N,O"
226,242,CCn1c2cc(N(c3ccccc3)c3ccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)cc3)ccc2c2ccc(N(c3ccccc3)c3ccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)cc3)cc21,CAN:CCn1c2cc(N(c3ccccc3)c3ccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)cc3)ccc2c2ccc(N(c3ccccc3)c3ccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)cc3)cc21,10.1039/B512524C,7,DCM,0,800.0,575.6,6.355412975,"C,H,N,O"
227,243,N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CAN:N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1039/B512524C,8,DCM,0,800.0,254.3,5.538514672,"C,H,N"
228,244,N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccc3ccccc3c2)cc1,CAN:N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3ccc4ccccc4c3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccc3ccccc3c2)cc1,10.1039/B512524C,9,DCM,0,800.0,540.8,6.293049525,"C,H,N"
229,245,N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3cc4cccc5ccc6cccc3c6c54)cc2)cc1)c1ccc(N(c2ccccc2)c2cc3cccc4ccc5cccc2c5c43)cc1,CAN:N#C/C(=C\c1ccc(/C=C(\C#N)c2ccc(N(c3ccccc3)c3cc4cccc5ccc6cccc3c6c54)cc2)cc1)c1ccc(N(c2ccccc2)c2cc3cccc4ccc5cccc2c5c43)cc1,10.1039/B512524C,10,DCM,0,800.0,1180.0,7.073269717,"C,H,N"
230,246,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nnc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)o4)s3)cc2)cc1,CAN:c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nnc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)o4)s3)cc2)cc1,10.1039/B512524C,11,DCM,0,800.0,1390.0,7.237059026,"C,H,N,O,S"
231,247,C(#Cc1ccc(-c2nnc(-c3ccc(C#Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)o2)s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CAN:C(#Cc1ccc(-c2nnc(-c3ccc(C#Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)o2)s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1039/B512524C,12,DCM,0,800.0,996.8,6.904550148,"C,H,N,O,S"
232,248,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)nn4)s3)cc2)cc1,CAN:c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)nn4)s3)cc2)cc1,10.1039/B512524C,13,DCM,0,800.0,1442.0,7.273786318,"C,H,N,S"
233,249,CCCCCCOCc1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1,CAN:CCCCCCOCc1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)o2)cc1,10.1039/B512524C,4,DCM,0,800.0,141.0,4.94875989,"C,H,N,O"
234,250,CCCCCCOCc1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)cc3)o2)cc1,CAN:CCCCCCOCc1ccc(-c2nnc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)cc3)o2)cc1,10.1039/B512524C,5,DCM,0,800.0,143.0,4.96284463,"C,H,N,O"
235,251,CCC1(CC)c2cc(/C=C/c3ccc(-c4nc5ccccc5s4)cc3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CAN:CCC1(CC)c2cc(/C=C/c3ccc(-c4nc5ccccc5s4)cc3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,10.1016/j.theochem.2006.07.007,1a,DCM,0,790.0,525.0,6.263398263,"C,H,N,S"
236,252,CCCCN(CCCC)c1ccc(C#Cc2cc(C#Cc3ccc(N(CCCC)CCCC)cc3)c(C#Cc3ccc(N(CCCC)CCCC)cc3)cc2C#Cc2ccc(N(CCCC)CCCC)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(C#Cc2cc(C#Cc3ccc(N(CCCC)CCCC)cc3)c(C#Cc3ccc(N(CCCC)CCCC)cc3)cc2C#Cc2ccc(N(CCCC)CCCC)cc2)cc1,10.1364/OL.31.003315,TD-TPEB,THF,3,720.0,540.0,6.29156914,"C,H,N"
237,254,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(N)n2)cc1,CAN:CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(N)n2)cc1,10.1016/j.tetlet.2007.06.122,1,TCM,2,800.0,445.0,6.098074282,"C,H,N"
238,255,CCN(CC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CC)CC)cc3)nc(N)n2)cc1,CAN:CCN(CC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CC)CC)cc3)nc(N)n2)cc1,10.1016/j.tetlet.2007.06.122,2,TCM,2,800.0,590.0,6.380122537,"C,H,N"
239,256,Nc1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1,CAN:Nc1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1,10.1016/j.tetlet.2007.06.122,3,TCM,2,800.0,810.0,6.697034248,"C,H,N"
240,257,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#N)cc2)cc1,CAN:CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#N)cc2)cc1,10.1007/s10895-007-0219-8,1,Toluene,2,780.0,680.0,6.522092798,"C,H,N"
241,258,N#Cc1ccc(C#Cc2ccc(N(CCO)CCO)cc2)cc1,CAN:N#Cc1ccc(C#Cc2ccc(N(CCO)CCO)cc2)cc1,10.1007/s10895-007-0219-8,2,Toluene,3,780.0,670.0,6.507277712,"C,H,N,O"
242,259,CCCCCCN(CCCCCC)c1ccc(/C=C/c2cc(C)nc(OCCCC(=O)OCC)n2)cc1,CAN:CCCCCCN(CCCCCC)c1ccc(/C=C/c2cc(C)nc(OCCCC(=O)OCC)n2)cc1,10.1039/B702004J,1a,Toluene,3,820.0,60.0,4.094344562,"C,H,N,O"
243,260,CCOC(=O)CCCOc1nc(/C=C/c2ccc(N(C)C)cc2)cc(/C=C/c2ccc(N(C)C)cc2)n1,CAN:CCOC(=O)CCCOc1nc(/C=C/c2ccc(N(C)C)cc2)cc(/C=C/c2ccc(N(C)C)cc2)n1,10.1039/B702004J,2a,Toluene,3,820.0,170.0,5.135798437,"C,H,N,O"
244,261,CCCCCCN(CCCCCC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CCCCCC)CCCCCC)cc3)nc(OCCCC(=O)OCC)n2)cc1,CAN:CCCCCCN(CCCCCC)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(CCCCCC)CCCCCC)cc3)nc(OCCCC(=O)OCC)n2)cc1,10.1039/B702004J,3a,Toluene,3,820.0,365.0,5.899897354,"C,H,N,O"
245,262,CCOC(=O)CCCOc1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1,CAN:CCOC(=O)CCCOc1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1,10.1039/B702004J,4a,Toluene,3,820.0,470.0,6.152732695,"C,H,N,O"
246,263,CCn1c2ccccc2c2cc(/C=C/c3nc(C)nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)n3)ccc21,CAN:CCn1c2ccccc2c2cc(/C=C/c3nc(C)nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)n3)ccc21,10.1016/j.optmat.2005.12.003,II,THF,0,800.0,397.0,5.983936281,"C,H,N"
247,264,CCn1c2ccccc2c2cc(/C=C/c3nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)n3)ccc21,CAN:CCn1c2ccccc2c2cc(/C=C/c3nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)nc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)n3)ccc21,10.1016/j.optmat.2005.12.003,III,THF,0,800.0,994.0,6.901737207,"C,H,N"
248,265,CCCCN(CCCC)c1ccc(/C=C/C=C/c2ccc(N(C)C)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/C=C/c2ccc(N(C)C)cc2)cc1,10.1021/ja994497s,2,Toluene,1,650.0,250.0,5.521460918,"C,H,N"
249,269,CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,10.1021/ja994497s,3,Toluene,2,700.0,230.0,5.438079309,"C,H,N"
250,270,CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,10.1021/ja994497s,4,Toluene,3,730.0,400.0,5.991464547,"C,H,N"
251,271,CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,10.1021/ja994497s,?,Toluene,0,730.0,1300.0,7.170119543,"C,H,N"
252,272,CCCCCCCCCCCCCOc1cc(/C=C/c2cc(OC)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2OC)c(OCCCCCCCCCCCCC)cc1/C=C/c1cc(OC)c(/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1OC,CAN:CCCCCCCCCCCCCOc1cc(/C=C/c2cc(OC)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2OC)c(OCCCCCCCCCCCCC)cc1/C=C/c1cc(OC)c(/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1OC,10.1021/ja994497s,12,Toluene,1,850.0,1450.0,7.279318835,"C,H,N,O"
253,274,CCCCCCCCCCCCCOc1cc(/C=C/c2cccc(N(c3ccccc3)c3cccc(C)c3)c2)c(OCCCCCCCCCCCCC)cc1/C=C/c1ccc(N(c2ccccc2)c2cccc(C)c2)cc1,CAN:CCCCCCCCCCCCCOc1cc(/C=C/c2cccc(N(c3ccccc3)c3cccc(C)c3)c2)c(OCCCCCCCCCCCCC)cc1/C=C/c1ccc(N(c2ccccc2)c2cccc(C)c2)cc1,10.1021/ja994497s,10,Toluene,1,750.0,900.0,6.802394763,"C,H,N,O"
254,275,Cc1cccc(N(c2ccccc2)c2ccc(/C=C/c3ccc(/C=C/c4cccc(N(c5ccccc5)c5cccc(C)c5)c4)cc3)cc2)c1,CAN:Cc1cccc(N(c2ccccc2)c2ccc(/C=C/c3ccc(/C=C/c4cccc(N(c5ccccc5)c5cccc(C)c5)c4)cc3)cc2)c1,10.1021/ja994497s,9,Toluene,1,750.0,800.0,6.684611728,"C,H,N"
255,276,C(=C/c1cccc(N(c2ccccc2)c2ccccc2)c1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CAN:C(=C\c1cccc(N(c2ccccc2)c2ccccc2)c1)/c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1021/ja994497s,6,Toluene,2,700.0,195.0,5.272999559,"C,H,N"
256,277,COc1cc(/C=C/c2ccc([N+](=O)[O-])cc2)c(OCCCCCCCCCCCS)cc1/C=C/c1ccc([N+](=O)[O-])cc1,CAN:COc1cc(/C=C/c2ccc([N+](=O)[O-])cc2)c(OCCCCCCCCCCCS)cc1/C=C/c1ccc([N+](=O)[O-])cc1,10.1021/ja0281277,1,"1,2-dichlorobenzene",3,770.0,163.0,5.093750201,"C,H,N,O,S"
257,278,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)c3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc2)cc1,CAN:CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)c3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc2)cc1,10.1021/ol036041s,11,Toluene,0,740.0,30.0,3.401197382,"C,H,N"
258,279,CCCCCCCCCCS(=O)(=O)c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(S(=O)(=O)CCCCCCCCCC)cc4)cc3)c3ccc(C#Cc4ccc(S(=O)(=O)CCCCCCCCCC)cc4)cc3)cc2)cc1,CAN:CCCCCCCCCCS(=O)(=O)c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(S(=O)(=O)CCCCCCCCCC)cc4)cc3)c3ccc(C#Cc4ccc(S(=O)(=O)CCCCCCCCCC)cc4)cc3)cc2)cc1,10.1021/ol036041s,12,Toluene,0,740.0,160.0,5.075173815,"C,H,N,O,S"
259,280,O=S(=O)(c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(S(=O)(=O)C(F)(F)F)cc4)cc3)c3ccc(C#Cc4ccc(S(=O)(=O)C(F)(F)F)cc4)cc3)cc2)cc1)C(F)(F)F,CAN:O=S(=O)(c1ccc(C#Cc2ccc(N(c3ccc(C#Cc4ccc(S(=O)(=O)C(F)(F)F)cc4)cc3)c3ccc(C#Cc4ccc(S(=O)(=O)C(F)(F)F)cc4)cc3)cc2)cc1)C(F)(F)F,10.1021/ol036041s,13,Toluene,0,740.0,495.0,6.204557763,"C,F,H,N,O,S"
260,281,CCCCCCCCCCS(=O)(=O)c1ccc(/C=C/c2ccc(C#Cc3ccc(N(c4ccc(C#Cc5ccc(/C=C/c6ccc(S(=O)(=O)CCCCCCCCCC)cc6)cc5)cc4)c4ccc(C#Cc5ccc(/C=C/c6ccc(S(=O)(=O)CCCCCCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,CAN:CCCCCCCCCCS(=O)(=O)c1ccc(/C=C/c2ccc(C#Cc3ccc(N(c4ccc(C#Cc5ccc(/C=C/c6ccc(S(=O)(=O)CCCCCCCCCC)cc6)cc5)cc4)c4ccc(C#Cc5ccc(/C=C/c6ccc(S(=O)(=O)CCCCCCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,10.1021/ol036041s,15,Toluene,0,740.0,1080.0,6.98471632,"C,H,N,O,S"
261,282,CCS(=O)(=O)c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CAN:CCS(=O)(=O)c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,10.1039/b313185h,S101,THF,3,750.0,37.0,3.610917913,"C,H,N,O,S"
262,283,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccc(-c2nc3ccccc3s2)cc1,CAN:C(=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)/c1ccc(-c2nc3ccccc3s2)cc1,10.1039/b313185h,BT101,THF,4,790.0,102.0,4.624972813,"C,H,N,S"
263,284,CC(C)(C)c1ccc(-c2nnc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)cc1,CAN:CC(C)(C)c1ccc(-c2nnc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)cc1,10.1039/b313185h,101,THF,2,770.0,54.0,3.988984047,"C,H,N,S"
264,285,C(=C/c1ccc(-c2nc3ccccc3s2)cc1)\c1ccccc1,CAN:C(=C\c1ccc(-c2nc3ccccc3s2)cc1)/c1ccccc1,10.1039/b313185h,Acc,THF,3,720.0,17.0,2.833213344,"C,H,N,S"
265,286,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,CAN:C(=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)/c1ccccc1,10.1039/b313185h,Dor,THF,5,750.0,27.0,3.295836866,"C,H,N"
266,287,CC(C)(C)Sc1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(SC(C)(C)C)cc7)cc6)cnc54)c3)cc2)cc1,CAN:CC(C)(C)Sc1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(SC(C)(C)C)cc7)cc6)cnc54)c3)cc2)cc1,10.1039/b414197k,9a,TCM,0,696.0,165.0,5.105945474,"C,H,N,S"
267,288,CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(N(CCCCCC)CCCCCC)cc7)cc6)cnc54)c3)cc2)cc1,CAN:CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(N(CCCCCC)CCCCCC)cc7)cc6)cnc54)c3)cc2)cc1,10.1039/b414197k,9c,TCM,0,788.0,401.0,5.993961427,"C,H,N"
268,289,CCCCCCOc1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(OCCCCCC)c(OCCCCCC)c7)cc6)cnc54)c3)cc2)cc1OCCCCCC,CAN:CCCCCCOc1ccc(/C=C/c2ccc(-c3cnc4c(ccc5cc(-c6ccc(/C=C/c7ccc(OCCCCCC)c(OCCCCCC)c7)cc6)cnc54)c3)cc2)cc1OCCCCCC,10.1039/b414197k,9b,TCM,0,758.0,160.0,5.075173815,"C,H,N,O"
269,290,CCC1(CC)c2cc(/C=C/c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,CAN:CCC1(CC)c2cc(/C=C/c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,10.1021/ol9909177,3,ACN,3,680.0,1300.0,7.170119543,"C,H,N,O"
270,293,CCC1(CC)c2cc(C=Cc3ccc([N+](=O)[O-])cc3)ccc2-c2c(/C=C/c3ccc([N+](=O)[O-])cc3)cc(/C=C/c3ccc([N+](=O)[O-])cc3)cc21,CAN:CCC1(CC)c2cc(C=Cc3ccc([N+](=O)[O-])cc3)ccc2-c2c(/C=C/c3ccc([N+](=O)[O-])cc3)cc(/C=C/c3ccc([N+](=O)[O-])cc3)cc21,10.1021/jo0503512,6,cyclohexane,0,600.0,2200.0,7.696212639,"C,H,N,O"
271,294,CCC1(CC)c2cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2c(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,CAN:CCC1(CC)c2cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2c(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,10.1021/jo0503512,4,cyclohexane,0,600.0,3600.0,8.188689124,"C,H,N"
272,295,CCCCN(CCCC)c1ccc(/C=C/c2cc(C#N)c(/C=C/c3ccc(/C=C/c4cc(C#N)c(/C=C/c5ccc(N(CCCC)CCCC)cc5)cc4C#N)cc3)cc2C#N)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/c2cc(C#N)c(/C=C/c3ccc(/C=C/c4cc(C#N)c(/C=C/c5ccc(N(CCCC)CCCC)cc5)cc4C#N)cc3)cc2C#N)cc1,10.1021/ja052926i,A,Toluene,6,970.0,3200.0,8.070906089,"C,H,N"
273,296,CCCCCCCCCCCCOc1cc(/C=C/c2cc(C#N)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2C#N)c(OCCCCCCCCCCCC)cc1/C=C/c1cc(C#N)c(/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1C#N,CAN:CCCCCCCCCCCCOc1cc(/C=C/c2cc(C#N)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2C#N)c(OCCCCCCCCCCCC)cc1/C=C/c1cc(C#N)c(/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1C#N,10.1021/ja052926i,B,Toluene,5,950.0,4100.0,8.318742253,"C,H,N,O"
274,297,CCCCN(CCCC)c1ccc(/C=C/c2cc(OC)c(/C=C/c3cc(C#N)c(/C=C/c4cc(OC)c(/C=C/c5ccc(N(CCCC)CCCC)cc5)cc4OC)cc3C#N)cc2OC)cc1,CAN:CCCCN(CCCC)c1ccc(/C=C/c2cc(OC)c(/C=C/c3cc(C#N)c(/C=C/c4cc(OC)c(/C=C/c5ccc(N(CCCC)CCCC)cc5)cc4OC)cc3C#N)cc2OC)cc1,10.1021/ja052926i,C,Toluene,5,950.0,4900.0,8.496990484,"C,H,N,O"
275,298,COc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(OC)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CAN:COc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(OC)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1021/jp8020326,BrPhVB,Toluene,0,800.0,990.0,6.897704943,"C,H,N,O"
276,299,O=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,CAN:O=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,10.1039/B715441K,PV00,Toluene,0,700.0,59.0,4.077537444,"C,H,N,O"
277,300,O=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CAN:O=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,10.1039/B715441K,PV01,Toluene,0,685.0,80.0,4.382026635,"C,H,N,O"
278,301,O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,CAN:O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,10.1039/B715441K,PV02,Toluene,0,685.0,957.0,6.863803391,"C,H,N,O"
279,302,O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)cc1,CAN:O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)cc1,10.1039/B715441K,PV03,THF,0,685.0,2087.0,7.643482907,"C,H,N,O"
280,303,O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1,CAN:O=Cc1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1,10.1039/B715441K,PV04,THF,0,685.0,3407.0,8.133587418,"C,H,N,O"
281,304,Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(C)cc2C)c(C)c1,CAN:Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(C)cc2C)c(C)c1,10.1002/chem.200801719,1,Toluene,2,800.0,200.0,5.298317367,"B,C,H,N"
